|Metal Fill Design Rules|MXFILL546|-|[ExFILL not touching IND] minimum width, where Ex = EA or EB.|≥|1.8
|Metal Fill Design Rules|MXFILL547|-|(ExFILL touching IND) minimum width, where Ex = EA or EB.|≥|0.8
|Metal Fill Design Rules|MXFILL548|-|ExFILL maximum width, where Ex = EA or EB|≤|4
|Metal Fill Design Rules|MXFILLKERN561|-|OIFILL minimum space to (OI, OIING)|≥|4.8
|Metal Fill Design Rules|MXFILLKERN562|-|OIFILL minimum space to (OIEXCLUD, LOGOBND, PROTECT, KERFEXCL)|≥|4.8
|Metal Fill Design Rules|MXFILLKERN563|-|OIFILL minimum space to FUSE ; OIFILL must not touch FUSE|≥|4.8
|Metal Fill Design Rules|MXFILLKERN565|-|OIFILL minimum space|≥|2.4
|Metal Fill Design Rules|MXFILLKERN566|-|(OIFILL not touching (IND, C4MOD, WBMOD) ) minimum length and width|≥|7.19
|Metal Fill Design Rules|MXFILLKERN567|-|(OIFILL not touching (IND, C4MOD, WBMOD) ) maximum length and width|≤|7.21
|Metal Fill Design Rules|MXFILLKERN568|-|(OIFILL touching IND) minimum length and width|≥|3.19
|Metal Fill Design Rules|MXFILLKERN569|-|(OIFILL touching IND) maximum length and width|≤|3.21
|Metal Fill Design Rules|MXFILL581|-|MxFILL minimum space to (QT not touching MIM_NI) with touching prohibited, where Mx = metal level OLAST12X or ELAST4X depending on the metal stack, immediately below LB|≥|0.8
|Metal Fill Design Rules|MXFILLKERN591|-|LBFILL minimum space to LB.|≥|4
|Metal Fill Design Rules|MXFILLKERN592|-|LBFILL minimum space to (C4MOD, IND, KERFEXCL, LBEXCLUD, LOGOBND, PROTECT, WBMOD) with touching prohibited.|≥|4
|Metal Fill Design Rules|MXFILLKERN595|-|LBFILL minimum space.|≥|2.4
|Metal Fill Design Rules|MXFILLKERN596|-|LBFILL minimum width.|≥|7.2
|Metal Fill Design Rules|MXFILL598|-|xxFILL must be square, where xx = M1-M7, B1-B3, BA, BB, BD, EA, EB, LB.|≡|-
|Metal Fill Design Rules|MXFILL599|-|xxFILL must be within CHIPEDGE, where xx = M1-M7, B1-B3, BA, BB, BD, EA, EB, LB.|≥|0.1
